orig_name,new_name,color,type,source,old_slug,new_slug,local_img
Misty Rose,Giada Nebuloso,green,onyx,hmg,misty-rose,giada-nebuloso,images/0119_Misty_Rose.jpg
Fuego Narange,Verde Incanto,green,onyx,hmg,fuego-narange,verde-incanto,images/0120_Fuego_Narange.jpg
Miyazaki,Emerald Translux,green,onyx,hmg,miyazaki,emerald-translux,images/0121_Miyazaki.jpg
Maroon Tree Rainbow,Jade Pluviale,green,onyx,hmg,maroon-tree-rainbow,jade-pluviale,images/0122_Maroon_Tree_Rainbow.jpg
Brown Sugar,Amber Opal,gold,onyx,hmg,brown-sugar,amber-opal,images/0123_Brown_Sugar.jpg
Bone,Linen Strata,cream,travertine,hmg,bone,linen-strata,images/0124_Bone.jpg
Cream,Mandorla Crema,cream,travertine,hmg,cream,mandorla-crema,images/0125_Cream.jpg
Romano Classic Silver,Almond Argento,cream,travertine,hmg,romano-classic-silver,almond-argento,images/0126_Romano_Classic_Silver.jpg
Crema Fabulous,Burro Crema,cream,travertine,hmg,crema-fabulous,burro-crema,images/0127_Crema_Fabulous.jpg
Bianco Bone,Mandorla Classico,cream,travertine,hmg,bianco-bone,mandorla-classico,images/0128_Bianco_Bone.jpg
St Andrea,Candido Imperiale,cream,travertine,hmg,st-andrea,candido-imperiale,images/0129_St_Andrea.jpg
Dark Silver,Avorio Argento,cream,travertine,hmg,dark-silver,avorio-argento,images/0130_Dark_Silver.jpg
Beige,Ivory Antiqua,cream,travertine,hmg,beige,ivory-antiqua,images/0131_Beige.jpg
Silver Cork,Vanilla Argento,cream,travertine,hmg,silver-cork,vanilla-argento,images/0132_Silver_Cork.jpg
Grey Silver,Champagne Argento,cream,travertine,hmg,grey-silver,champagne-argento,images/0133_Grey_Silver.jpg
Grey,Linen Rustico,cream,travertine,hmg,grey,linen-rustico,images/0134_Grey.jpg
Trionyx,Chestnut Opalino,brown,travertine,hmg,trionyx,chestnut-opalino,images/0135_Trionyx.jpg
Silver Dark,Castagno Argento,brown,travertine,hmg,silver-dark,castagno-argento,images/0136_Silver_Dark.jpg
Marrone Zucchero,Noce Colosseum,brown,travertine,hmg,marrone-zucchero,noce-colosseum,images/0137_Marrone_Zucchero.jpg
Silver Dark,Mogano Argento,brown,travertine,hmg,silver-dark,mogano-argento,images/0138_Silver_Dark.jpg
Cork,Castagno Strata,brown,travertine,hmg,cork,castagno-strata,images/0139_Cork.jpg
Kona Gold 1,Marrone Dorato,brown,travertine,hmg,kona-gold-1,marrone-dorato,images/0140_Kona_Gold_1.jpg
Kona Gold 2,Walnut Dorato,brown,travertine,hmg,kona-gold-2,walnut-dorato,images/0141_Kona_Gold_2.jpg
Noche,Mocha Storico,brown,travertine,hmg,noche,mocha-storico,images/0142_Noche.jpg
